id	ground_truth	prediction
457	0	0
193	0	0
367	0	0
467	0	0
352	0	0
140	0	0
173	0	0
6	0	0
559	0	0
344	0	0
73	0	1
595	0	1
299	0	0
420	0	0
145	0	1
234	0	0
220	0	1
651	1	0
359	0	1
132	0	1
422	0	1
768	1	1
477	0	0
41	0	0
530	0	0
108	0	0
786	1	0
56	0	1
630	1	0
436	0	0
713	1	1
24	0	1
449	0	0
396	0	0
780	1	0
51	0	0
375	0	0
791	1	1
552	0	1
264	0	0
590	0	0
594	0	0
741	0	1
323	0	0
18	0	0
621	1	1
448	0	1
83	0	0
61	0	0
272	0	1
285	0	0
351	0	1
428	0	0
766	1	1
182	0	0
355	0	0
535	0	0
223	0	0
822	1	1
650	1	1
361	0	0
412	0	0
828	1	1
529	0	0
176	0	1
581	0	0
814	1	0
163	0	0
248	0	1
714	1	0
762	1	0
74	0	0
113	0	0
578	0	0
671	0	0
104	0	0
114	0	1
362	0	0
92	0	1
723	1	1
89	0	1
336	0	0
482	0	1
792	1	0
803	0	0
526	0	0
531	0	1
94	0	0
11	0	0
398	0	0
43	0	0
42	0	0
329	0	0
167	0	0
755	1	0
754	0	1
656	1	0
462	0	1
178	0	1
644	0	1
711	1	0
177	0	0
589	0	1
687	1	0
596	0	0
257	0	0
404	0	1
335	0	0
534	0	0
15	0	0
3	0	0
760	1	1
256	0	0
743	1	1
439	0	1
382	0	0
222	0	1
468	0	0
585	0	1
388	0	0
324	0	0
513	0	0
9	0	0
249	0	1
22	0	0
356	0	0
221	0	0
582	0	0
742	1	0
846	1	0
545	0	0
340	0	0
720	1	0
203	0	1
237	0	0
93	0	1
450	0	0
570	0	1
542	0	0
284	0	0
184	0	1
696	1	1
445	0	1
153	0	0
75	0	0
794	0	0
533	0	0
277	0	0
68	0	0
547	0	0
188	0	1
271	0	0
722	1	1
538	0	0
236	0	1
88	0	0
733	1	0
117	0	0
125	0	0
708	1	0
289	0	0
238	0	0
0	0	0
853	1	0
433	0	0
752	1	1
395	0	0
514	0	0
126	0	0
278	0	0
668	1	1
116	0	0
228	0	1
603	0	0
662	1	0
486	0	0
274	0	0
318	0	0
587	0	0
144	0	0
854	1	0
541	0	0
784	1	1
622	1	1
369	0	0
268	0	0
604	1	1
307	0	0
423	0	0
310	0	0
506	0	1
46	0	1
349	0	0
371	0	0
558	0	0
261	0	0
195	0	1
861	1	0
721	1	0
107	0	1
59	0	0
638	1	0
494	0	0
100	0	0
443	0	0
588	0	0
774	1	0
620	1	0
579	0	0
179	0	1
304	0	0
551	0	0
57	0	1
831	1	1
149	0	1
124	0	0
680	0	1
749	0	0
185	0	0
576	0	0
50	0	0
341	0	0
446	0	0
851	0	1
519	0	0
321	0	1
353	0	0
798	0	0
142	0	0
470	0	0
370	0	0
800	0	0
141	0	0
399	0	0
493	0	0
263	0	0
320	0	1
19	0	0
172	0	1
841	1	0
312	0	1
390	0	0
837	1	0
12	0	1
407	0	1
408	0	0
305	0	1
354	0	1
25	0	0
636	1	0
169	0	0
781	0	0
38	0	1
175	0	1
245	0	0
717	1	1
583	0	0
704	1	1
740	1	0
154	0	0
287	0	0
523	0	0
17	0	0
127	0	0
322	0	1
255	0	0
692	1	0
829	1	0
190	0	0
115	0	0
536	0	0
180	0	1
301	0	0
659	1	1
618	1	1
629	1	0
597	0	1
695	1	0
517	0	0
847	1	0
45	0	0
820	1	0
157	0	0
691	0	1
171	0	1
