id	label	sentence	pos
457	0	It 's very confusing without the right signs .	PRP VBZ RB JJ IN DT JJ NNS . 
193	0	We are restricted in doing nearly everything .	PRP VBP JJ IN VBG RB NN . 
367	0	He did n't keep my secret .	PRP VBD RB VB PRP$ NN . 
467	0	At that moment I did n't like my position .	IN DT NN PRP VBD RB VB PRP$ NN . 
352	0	I received your letter yesterday .	PRP VBD PRP$ NN RB . 
140	0	I 'll write to you soon Kim .	PRP VBP VB IN PRP RB NNP . 
173	0	I had a lot of fun there .	PRP VBD DT NN IN NN RB . 
6	0	I made a big mistake by trusting him .	PRP VBD DT JJ NN IN VBG PRP . 
559	0	Your time has been stolen .	PRP$ NN VBZ VBN VBN . 
344	0	I want you to give me a full refund .	PRP VBP PRP TO VB PRP DT JJ NN . 
73	0	And always , everybody did it surprisingly well .	CC RB , NN VBD PRP RB RB . 
595	0	Respect is essential .	NN VBZ JJ . 
299	0	I appreciate all this .	PRP VBP PDT DT . 
420	0	You are asked to go through the blue door .	PRP VBP VBN TO VB IN DT JJ NN . 
145	0	Thirdly , the ad mentioned possible discounts .	RB , DT NN VBD JJ NNS . 
234	0	The second answer is that shopping makes everyone happy .	DT JJ NN VBZ IN NN VBZ NN JJ . 
220	0	We mostly had a wonderful time .	PRP RB VBD DT JJ NN . 
651	1	I said to myself again .	PRP VBD TO PRP RB . 
359	0	After all these problems I became disappointed	IN PDT DT NNS PRP VBD JJ 
132	0	However , we have to consider our human nature .	RB , PRP VBZ TO VB PRP$ JJ NN . 
422	0	First , about school .	RB , IN NN . 
768	1	or you are going to get nervous !	CC PRP VBP VBG TO VB JJ . 
477	0	It was not a perfect evening whatsoever .	PRP VBD RB DT JJ NN RB . 
41	0	She spent the money on a magazine .	PRP VBD DT NN IN DT NN . 
530	0	Say hello to your parents !	VB UH IN PRP$ NNS . 
108	0	I look forward to hearing soon .	PRP VB RB IN VBG RB . 
786	1	I can buy something from internet .	PRP MD VB NN IN NN . 
56	0	Or would our house itself be alive ?	CC MD PRP$ NN PRP VBZ JJ . 
630	1	Modern technology changed our lifes in many ways ,	JJ NN VBD PRP$ NNS IN JJ NNS , 
436	0	So it depends on the case .	RB PRP VBZ IN DT NN . 
713	1	And you can see the their clothes also .	CC PRP MD VB PDT PRP$ NNS RB . 
24	0	Just imagine the future people 's way of life	RB VB DT JJ NNS POS NN IN NN 
449	0	A lot of circumstances will arise .	DT NN IN NNS MD VB . 
396	0	Some prefer realistic stories whereas others prefer unusual ones .	DT VBP JJ NNS IN NNS VBP JJ NNS . 
780	1	It is causing some changes to me .	PRP VBZ VBG DT NNS IN PRP . 
51	0	It has absolutely reduced women 's housework time .	PRP VBZ RB VBN NNS POS NN NN . 
375	0	Do you dream of being a star ?	VBP PRP VB IN VBG DT NN . 
791	1	My job just prepear drink for them .	PRP$ NN RB VBP NN IN PRP . 
552	0	Dear Ms Helen Ryan ,	JJ NNP NNP NNP . 
264	0	I am a student in the English class .	PRP VBP DT NN IN DT JJ NN . 
590	0	It was your fault .	PRP VBD PRP$ NN . 
594	0	What clothes should we take with us ?	WDT NNS MD PRP VB IN PRP . 
741	0	It will still be filled with vegetables and meat .	PRP MD RB VB VBN IN NNS CC NN . 
323	0	Yesterday was Valentine 's day here in Portugal .	NN VBD NNP POS NNP RB IN NNP . 
18	0	Let me answer these questions .	VB PRP VB DT NNS . 
621	1	So do n't laugh about this idea .	RB VBP RB VB IN DT NN . 
448	0	I could n't be satisfied with your theatre .	PRP MD RB VB JJ IN PRP$ NN . 
83	0	I 'm a beginner at both activities .	PRP VBP DT NN IN DT NNS . 
61	0	I was just 15 years old .	PRP VBD RB CD NNS JJ . 
272	0	It is wonderful how technology makes things so easy .	PRP VBZ JJ WRB NN VBZ NNS RB JJ . 
285	0	I expected to see a variety of nationalities .	PRP VBD TO VB DT NN IN NNS . 
